name,Discipline,equipment,primary_muscle,type,body_category,tags,Fatigue
Triceps dips (bench),HIIT,bench,Triceps,strength,upper body,"hiit",Triceps:1;Shoulders:0.4;Chest:0.3
Step-ups (bench),HIIT,bench,Quads,metcon,lower body,"hiit;conditioning",Quads:1;Glutes:0.6;Calves:0.3
Curtsy lunges,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Quads:0.5
Lateral lunges,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Quads:0.6
Sumo squats,HIIT,bodyweight,Glutes,strength,lower body,"hiit",Glutes:1;Quads:0.6
Squat pulses,HIIT,bodyweight,Quads,strength,lower body,"hiit",Quads:1;Glutes:0.4
Glute kickbacks,HIIT,bodyweight,Glutes,core,lower body,"hiit",Glutes:1
Donkey kicks,HIIT,bodyweight,Glutes,core,lower body,"hiit",Glutes:1
Superman,HIIT,bodyweight,Back,core,upper body,"hiit",Back:1;Glutes:0.3
Swimmers,HIIT,bodyweight,Back,metcon,upper body,"hiit",Back:1;Shoulders:0.4
Reverse snow angels,HIIT,bodyweight,Back,metcon,upper body,"hiit",Back:0.8;Shoulders:0.6
Plank reach (alternating),HIIT,bodyweight,Core,core,core,"hiit;core",Core:1;Shoulders:0.4
Plank knee-to-elbow,HIIT,bodyweight,Core,core,core,"hiit;core",Core:1
Commando plank,HIIT,bodyweight,Shoulders,metcon,upper body,"hiit;conditioning",Shoulders:0.8;Core:0.6
Bear plank (hover),HIIT,bodyweight,Core,isometric,core,"hiit;core",Core:1;Shoulders:0.4
Sprint in place,HIIT,bodyweight,Quads,cardio,lower body,"hiit;conditioning",Quads:0.8;Calves:0.4
Reverse plank,HIIT,bodyweight,Triceps,isometric,upper body,"hiit",Triceps:0.8;Core:0.4
Step jacks (no jump),HIIT,bodyweight,Shoulders,cardio,full body,"hiit;low-impact;conditioning",Shoulders:0.4;Calves:0.2
Side step touch,HIIT,bodyweight,Calves,cardio,lower body,"hiit;low-impact;conditioning",Calves:0.5;Quads:0.3
Standing knee drives (low impact),HIIT,bodyweight,Quads,cardio,lower body,"hiit;low-impact;conditioning",Quads:0.7;Core:0.3
Marching in place,HIIT,bodyweight,Quads,cardio,lower body,"hiit;low-impact;conditioning",Quads:0.5;Calves:0.2

