Id	name	primary_muscle	secondary_muscles	core_engagement	unilateral	plyometric	isometric	knee_friendly	spine_load	body_category	type	level	impact	equipment	movement_pattern	tags	avoid_if_knee_issues	avoid_if_lower_back_issues	description	gif_url	fallback_url	fallback_url 2	Fatigue	Discipline
	Inchworm walkout	Core								full body	metcon			bodyweight		hiit;conditioning							Core:0.8;Shoulders:0.5;Hamstrings:0.4	HIIT
	Bicycle crunches	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Flutter kicks	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Russian twists	Core								core	core			bodyweight		hiit;core							Core:1	HIIT
	Leg raises	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Plank	Core					TRUE			core	isometric			bodyweight		hiit;core							Core:1	HIIT
	Side plank (left)	Core					TRUE			core	isometric			bodyweight		hiit;core							Core:1	HIIT
	Side plank (right)	Core					TRUE			core	isometric			bodyweight		hiit;core							Core:1	HIIT
	Sprinter sit-ups	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Jump rope (imaginary)	Calves								full body	cardio			bodyweight		hiit;conditioning							Calves:0.8;Quads:0.4	HIIT
	Butt kicks	Hamstrings								lower body	cardio			bodyweight		hiit;conditioning							Hamstrings:0.8;Calves:0.3	HIIT
	Shadow boxing	Shoulders								upper body	cardio			bodyweight		hiit;conditioning							Shoulders:0.6;Core:0.3	HIIT
	Squat thrusts	Core								full body	metcon			bodyweight		hiit;conditioning							Core:0.8;Quads:0.6	HIIT
	Hollow hold	Abs					TRUE			core	isometric			bodyweight		hiit;core							Abs:1	HIIT
	Dead bug	Core								core	core			bodyweight		hiit;core							Core:1	HIIT
	Bird dog	Core								core	core			bodyweight		hiit;core							Core:1	HIIT
	Wall sit	Quads					TRUE			lower body	isometric			bodyweight		hiit;legs							Quads:1;Glutes:0.4	HIIT
	Sit-ups	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	V-ups	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Toe touches	Abs								core	core			bodyweight		hiit;core							Abs:1	HIIT
	Plank to pike	Core								core	core			bodyweight		hiit;core							Core:1;Shoulders:0.4	HIIT
	Cross-body mountain climbers	Core								full body	cardio			bodyweight		hiit;conditioning							Core:1;Shoulders:0.3;Quads:0.3	HIIT
	Lateral shuffle	Calves								lower body	cardio			bodyweight		hiit;conditioning							Calves:0.6;Quads:0.4	HIIT
	Side-to-side hops	Calves				TRUE				lower body	plyometric			bodyweight		hiit;plyo							Calves:0.8;Quads:0.4	HIIT
	Seal jacks	Shoulders								full body	cardio			bodyweight		hiit;conditioning							Shoulders:0.4;Calves:0.4	HIIT
	Push-up jacks	Chest								upper body	metcon			bodyweight		hiit;conditioning							Chest:0.8;Triceps:0.6;Core:0.5	HIIT
	Pike push-ups	Shoulders								upper body	strength			bodyweight		hiit							Shoulders:1;Triceps:0.5	HIIT
	Diamond push-ups	Triceps								upper body	strength			bodyweight		hiit							Triceps:1;Chest:0.5;Shoulders:0.3	HIIT
	Hand-release push-ups	Chest								upper body	strength			bodyweight		hiit							Chest:1;Triceps:0.6	HIIT
	Triceps dips (bench)	Triceps								upper body	strength			bench		hiit							Triceps:1;Shoulders:0.4;Chest:0.3	HIIT
	Step-ups (bench)	Quads								lower body	metcon			bench		hiit;conditioning							Quads:1;Glutes:0.6;Calves:0.3	HIIT
	Curtsy lunges	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Quads:0.5	HIIT
	Lateral lunges	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Quads:0.6	HIIT
	Sumo squats	Glutes								lower body	strength			bodyweight		hiit							Glutes:1;Quads:0.6	HIIT
	Squat pulses	Quads								lower body	strength			bodyweight		hiit							Quads:1;Glutes:0.4	HIIT
	Glute kickbacks	Glutes								lower body	core			bodyweight		hiit							Glutes:1	HIIT
	Donkey kicks	Glutes								lower body	core			bodyweight		hiit							Glutes:1	HIIT
	Superman	Back								upper body	core			bodyweight		hiit							Back:1;Glutes:0.3	HIIT
	Swimmers	Back								upper body	metcon			bodyweight		hiit							Back:1;Shoulders:0.4	HIIT
	Reverse snow angels	Back								upper body	metcon			bodyweight		hiit							Back:0.8;Shoulders:0.6	HIIT
	Plank reach (alternating)	Core								core	core			bodyweight		hiit;core							Core:1;Shoulders:0.4	HIIT
	Plank knee-to-elbow	Core								core	core			bodyweight		hiit;core							Core:1	HIIT
	Commando plank	Shoulders								upper body	metcon			bodyweight		hiit;conditioning							Shoulders:0.8;Core:0.6	HIIT
	Bear plank (hover)	Core					TRUE			core	isometric			bodyweight		hiit;core							Core:1;Shoulders:0.4	HIIT
	Sprint in place	Quads								lower body	cardio			bodyweight		hiit;conditioning							Quads:0.8;Calves:0.4	HIIT
	Reverse plank	Triceps					TRUE			upper body	isometric			bodyweight		hiit							Triceps:0.8;Core:0.4	HIIT
	Step jacks (no jump)	Shoulders								full body	cardio			bodyweight		hiit;low-impact;conditioning							Shoulders:0.4;Calves:0.2	HIIT
	Side step touch	Calves								lower body	cardio			bodyweight		hiit;low-impact;conditioning							Calves:0.5;Quads:0.3	HIIT
	Standing knee drives (low impact)	Quads								lower body	cardio			bodyweight		hiit;low-impact;conditioning							Quads:0.7;Core:0.3	HIIT
	Marching in place	Quads								lower body	cardio			bodyweight		hiit;low-impact;conditioning							Quads:0.5;Calves:0.2	HIIT
